epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,430.083,0.56587,0.24256,0.84858,0.99874,1,0.995,0.92321,0.58247,0.21029,0.89762,0.0016634,0.0016634,0.0016634
87,435.027,0.57554,0.24617,0.839,0.99767,1,0.995,0.88326,0.61048,0.20587,0.90005,0.00165944,0.00165944,0.00165944
88,439.848,0.58289,0.24082,0.85635,0.99855,1,0.995,0.90182,0.53688,0.19624,0.8849,0.00165548,0.00165548,0.00165548
89,444.618,0.57799,0.24268,0.84391,0.99874,1,0.995,0.89786,0.56135,0.20914,0.89059,0.00165152,0.00165152,0.00165152
90,449.387,0.60969,0.2538,0.86511,0.99883,1,0.995,0.88084,0.6214,0.21466,0.92648,0.00164756,0.00164756,0.00164756
91,454.391,0.56195,0.24025,0.85703,0.99856,1,0.995,0.88729,0.56146,0.224,0.89331,0.0016436,0.0016436,0.0016436
92,459.324,0.57682,0.24132,0.84774,0.9984,1,0.995,0.90079,0.55403,0.2057,0.89487,0.00163964,0.00163964,0.00163964
93,464.159,0.54647,0.23714,0.83969,0.99858,1,0.995,0.9018,0.50481,0.18263,0.87845,0.00163568,0.00163568,0.00163568
94,469.025,0.57181,0.23539,0.83429,0.99879,1,0.995,0.93154,0.4842,0.18782,0.87044,0.00163172,0.00163172,0.00163172
95,474.048,0.56149,0.24447,0.83818,0.99881,1,0.995,0.89484,0.58541,0.19227,0.89483,0.00162776,0.00162776,0.00162776
96,479.059,0.56246,0.2503,0.84932,0.99789,1,0.995,0.8787,0.58484,0.228,0.90636,0.0016238,0.0016238,0.0016238
97,484.009,0.57168,0.24889,0.85027,0.99807,1,0.995,0.89325,0.56866,0.20169,0.89183,0.00161984,0.00161984,0.00161984
98,489.078,0.5626,0.25008,0.85076,0.99874,1,0.995,0.88772,0.5839,0.199,0.90176,0.00161588,0.00161588,0.00161588
99,494.022,0.58218,0.25658,0.85376,0.99815,1,0.995,0.88699,0.54881,0.23198,0.89365,0.00161192,0.00161192,0.00161192
100,499.083,0.58325,0.25268,0.85851,0.99842,1,0.995,0.87743,0.66179,0.21577,0.92534,0.00160796,0.00160796,0.00160796
101,504.119,0.57827,0.24216,0.83965,0.99854,1,0.995,0.90432,0.53939,0.19557,0.89149,0.001604,0.001604,0.001604
102,509.056,0.55472,0.2348,0.84875,0.9987,1,0.995,0.9259,0.50081,0.19375,0.88746,0.00160004,0.00160004,0.00160004
103,514.108,0.5456,0.235,0.84588,0.99876,1,0.995,0.88469,0.6133,0.19384,0.90855,0.00159608,0.00159608,0.00159608
